id,user_id,target_id,count,character,press_time,release_time
145,1,1,6,b,1535650808300,1535650808443
146,1,1,6,o,1535650808362,1535650808507
147,1,1,6,u,1535650808443,1535650808508
148,1,1,6,n,1535650808635,1535650808730
149,1,1,6,i,1535650808690,1535650808835
150,1,1,6,a,1535650808810,1535650808899
151,1,1,6,t,1535650808900,1535650809018
152,1,1,6,a,1535650808994,1535650809162
153,1,1,6,r,1535650809122,1535650809306
154,1,1,6,u,1535650809251,1535650809370
155,1,1,7,i,1535650814243,1535650814346
156,1,1,7,n,1535650814443,1535650814546
157,1,1,7,u,1535650814507,1535650814594
158,1,1,7,m,1535650814690,1535650814795
159,1,1,7,o,1535650814754,1535650814923
160,1,1,7,a,1535650814924,1535650815082
161,1,1,7,r,1535650815043,1535650815226
162,1,1,7,u,1535650815146,1535650815250
163,1,1,7,k,1535650815346,1535650815491
164,1,1,7,e,1535650815386,1535650815492
165,1,1,7,b,1535650815555,1535650815674
166,1,1,7,a,1535650815651,1535650815779
167,1,1,7,b,1535650815780,1535650815947
168,1,1,7,o,1535650815826,1535650815970
169,1,1,7,u,1535650815882,1535650815971
170,1,1,7,n,1535650816090,1535650816170
171,1,1,7,i,1535650816131,1535650816298
172,1,1,7,a,1535650816251,1535650816339
173,1,1,7,t,1535650816339,1535650816459
174,1,1,7,a,1535650816460,1535650816602
175,1,1,7,r,1535650816562,1535650816730
176,1,1,7,u,1535650816666,1535650816770
177,1,1,8,i,1535650817322,1535650817426
178,1,1,8,n,1535650817546,1535650817650
179,1,1,8,u,1535650817613,1535650817714
180,1,1,8,m,1535650817794,1535650817922
181,1,1,8,o,1535650817883,1535650818067
182,1,1,8,a,1535650818034,1535650818163
183,1,1,8,r,1535650818164,1535650818332
184,1,1,8,u,1535650818266,1535650818370
185,1,1,8,k,1535650818458,1535650818595
186,1,1,8,e,1535650818490,1535650818595
187,1,1,8,b,1535650818682,1535650818802
188,1,1,8,a,1535650818755,1535650818883
189,1,1,8,b,1535650818884,1535650819051
190,1,1,8,o,1535650818930,1535650819075
191,1,1,8,u,1535650818988,1535650819075
192,1,1,8,n,1535650819194,1535650819283
193,1,1,8,i,1535650819284,1535650819426
194,1,1,8,a,1535650819378,1535650819483
195,1,1,8,t,1535650819485,1535650819610
196,1,1,8,a,1535650819587,1535650819771
197,1,1,8,r,1535650819707,1535650819914
198,1,1,8,u,1535650819850,1535650819979
199,1,1,9,i,1535650820595,1535650820674
200,1,1,9,n,1535650820794,1535650820898
201,1,1,9,u,1535650820861,1535650820963
202,1,1,9,m,1535650821042,1535650821146
203,1,1,9,o,1535650821106,1535650821250
204,1,1,9,a,1535650821226,1535650821371
205,1,1,9,r,1535650821372,1535650821539
206,1,1,9,u,1535650821450,1535650821562
207,1,1,9,k,1535650821658,1535650821802
208,1,1,9,e,1535650821762,1535650821866
209,1,1,9,b,1535650822002,1535650822130
210,1,1,9,a,1535650822106,1535650822267
211,1,1,9,b,1535650822330,1535650822498
212,1,1,9,o,1535650822378,1535650822587
213,1,1,9,u,1535650822562,1535650822683
214,1,1,9,n,1535650822826,1535650822930
215,1,1,9,i,1535650822894,1535650823035
216,1,1,9,a,1535650822986,1535650823074
